txn_id,txn_hour,txn_amount,amount_deviation,txn_velocity,behavior_score,payment_channel,risk_flag
TXN00244,15,1024.79,-0.34,0.34,0.09,DebitCard,0
TXN00245,8,583.42,-0.34,0.62,0.28,DebitCard,0
TXN00246,18,248.05,-0.43,0.74,0.27,CreditCard,0
TXN00247,14,546.67,-0.15,0.76,0.29,DebitCard,0
TXN00248,15,954.58,0.17,0.47,0.29,DebitCard,0
TXN00249,14,828.83,0.25,0.7,0.17,CreditCard,0
TXN00250,22,200.29,-0.18,0.8,0.28,DebitCard,0
TXN00251,18,667.87,-0.33,0.43,0.18,CreditCard,0
TXN00252,9,1020.72,0.42,0.16,0.15,CreditCard,0
TXN00253,20,530.88,0.4,0.65,0.3,DebitCard,0
TXN00254,12,852.67,0.46,0.77,0.05,CreditCard,0
TXN00255,10,451.24,0.12,0.43,0.23,CreditCard,0
TXN00256,12,247.9,0.39,0.57,0.34,CreditCard,0
TXN00257,18,721.2,-0.18,0.56,0.17,CreditCard,0
TXN00258,18,425.89,0.12,0.13,0.19,DebitCard,0
TXN00259,18,549.04,-0.27,0.14,0.16,DebitCard,0
TXN00260,9,404.48,0.01,0.52,0.24,CreditCard,0
TXN00261,15,779.96,-0.12,0.21,0.21,UPI,0
TXN00262,9,991.27,0.41,0.37,0.08,CreditCard,0
TXN00263,22,579.12,-0.08,0.76,0.14,UPI,0
TXN00264,8,1096.21,-0.12,0.74,0.24,DebitCard,0
TXN00265,16,647.46,0.39,0.3,0.27,UPI,0
TXN00266,20,781.94,0.33,0.18,0.33,DebitCard,0
TXN00267,16,1181.49,0.43,0.35,0.19,CreditCard,0
TXN00268,13,920.95,-0.12,0.2,0.06,DebitCard,0
TXN00269,13,769.36,0.25,0.37,0.24,CreditCard,0
TXN00270,21,211.28,-0.19,0.25,0.12,UPI,0
TXN00271,16,831.75,-0.44,0.76,0.33,DebitCard,0
TXN00272,8,1014.71,-0.06,0.37,0.34,DebitCard,0
TXN00273,16,457.0,0.02,0.74,0.26,UPI,0
TXN00274,17,1047.85,0.04,0.3,0.08,CreditCard,0
TXN00275,9,1071.46,-0.38,0.21,0.08,DebitCard,0
TXN00276,13,979.37,-0.2,0.33,0.17,DebitCard,0
TXN00277,15,487.21,-0.25,0.54,0.08,CreditCard,0
TXN00278,13,588.2,0.42,0.63,0.22,CreditCard,0
TXN00279,21,310.7,0.15,0.68,0.35,CreditCard,0
TXN00280,11,996.83,0.43,0.12,0.3,CreditCard,0
TXN00281,9,472.52,0.11,0.6,0.18,CreditCard,0
TXN00282,12,645.38,0.44,0.14,0.28,UPI,0
TXN00283,20,955.4,0.17,0.7,0.05,UPI,0
TXN00284,21,1151.1,0.33,0.24,0.32,DebitCard,0
TXN00285,20,538.55,0.47,0.62,0.22,DebitCard,0
TXN00286,8,221.14,0.15,0.31,0.06,UPI,0
TXN00287,10,1129.73,0.05,0.26,0.17,DebitCard,0
TXN00288,15,1174.62,0.44,0.24,0.06,CreditCard,0
TXN00289,18,468.35,0.23,0.59,0.16,UPI,0
TXN00290,19,217.48,0.37,0.48,0.07,CreditCard,0
TXN00291,12,404.83,0.4,0.56,0.08,DebitCard,0
TXN00292,20,969.1,0.08,0.73,0.23,UPI,0
TXN00293,20,429.48,-0.06,0.64,0.27,DebitCard,0
TXN00294,11,975.66,0.28,0.78,0.07,CreditCard,0
TXN00295,18,359.39,-0.05,0.31,0.12,UPI,0
TXN00296,21,536.24,-0.07,0.26,0.14,UPI,0
TXN00297,13,590.69,0.2,0.51,0.25,CreditCard,0
TXN00298,11,336.99,0.03,0.51,0.32,CreditCard,0
TXN00299,8,551.59,-0.07,0.13,0.32,CreditCard,0
TXN00300,17,551.95,0.05,0.29,0.08,UPI,0
TXN00301,21,597.89,-0.28,0.77,0.2,DebitCard,0
TXN00302,12,323.77,0.44,0.37,0.31,UPI,0
TXN00303,8,779.94,-0.46,0.53,0.07,UPI,0
TXN00304,9,244.14,-0.48,0.32,0.1,UPI,0
TXN00305,13,484.43,0.18,0.67,0.34,DebitCard,0
TXN00306,8,856.07,-0.15,0.51,0.35,DebitCard,0
TXN00307,10,228.97,-0.33,0.68,0.16,CreditCard,0
TXN00308,13,868.33,-0.38,0.26,0.26,DebitCard,0
TXN00309,8,1007.16,-0.28,0.52,0.24,DebitCard,0
TXN00310,10,372.28,-0.34,0.51,0.05,DebitCard,0
TXN00311,9,680.22,-0.26,0.73,0.14,UPI,0
TXN00312,20,1068.09,0.19,0.31,0.32,DebitCard,0
TXN00313,21,1158.1,0.01,0.59,0.18,UPI,0
TXN00314,14,718.37,-0.45,0.54,0.21,UPI,0
TXN00315,15,433.07,-0.31,0.49,0.11,DebitCard,0
TXN00316,20,452.84,-0.48,0.34,0.08,UPI,0
TXN00317,15,331.48,0.2,0.33,0.29,CreditCard,0
TXN00318,13,821.95,0.4,0.18,0.29,UPI,0
TXN00319,11,1124.47,0.25,0.39,0.2,DebitCard,0
TXN00320,9,1109.17,-0.42,0.71,0.12,DebitCard,0
TXN00321,16,597.17,-0.32,0.31,0.09,UPI,0
TXN00322,10,907.15,0.28,0.77,0.24,DebitCard,0
TXN00323,10,652.84,-0.14,0.66,0.33,UPI,0
TXN00324,19,318.6,0.12,0.78,0.14,UPI,0
TXN00325,19,351.48,-0.08,0.64,0.32,DebitCard,0
TXN00326,19,344.84,0.36,0.49,0.24,DebitCard,0
TXN00327,19,1146.69,0.4,0.66,0.31,DebitCard,0
TXN00328,8,468.73,0.3,0.44,0.33,CreditCard,0
TXN00329,19,400.67,0.34,0.53,0.15,DebitCard,0
TXN00330,19,1120.33,-0.45,0.76,0.29,UPI,0
TXN00331,22,423.25,-0.06,0.21,0.12,DebitCard,0
TXN00332,18,918.7,-0.38,0.49,0.06,DebitCard,0
TXN00333,10,1143.71,0.43,0.18,0.22,UPI,0
TXN00334,20,1182.83,0.26,0.49,0.14,CreditCard,0
TXN00335,15,880.48,-0.29,0.15,0.14,UPI,0
TXN00336,12,1018.12,0.27,0.51,0.23,CreditCard,0
TXN00337,15,1138.17,-0.34,0.74,0.24,DebitCard,0
TXN00338,9,237.01,-0.16,0.6,0.15,DebitCard,0
TXN00339,10,554.66,0.07,0.55,0.08,DebitCard,0
TXN00340,15,633.03,-0.01,0.16,0.25,UPI,0
TXN00341,17,357.15,-0.06,0.11,0.08,CreditCard,0
TXN00342,18,399.61,0.15,0.41,0.32,DebitCard,0
TXN00343,15,780.61,-0.49,0.3,0.31,CreditCard,0
TXN00344,22,775.34,-0.09,0.23,0.11,DebitCard,0
TXN00345,16,714.55,0.4,0.3,0.27,DebitCard,0
TXN00346,13,654.62,0.14,0.4,0.33,UPI,0
TXN00347,18,1079.22,0.35,0.59,0.27,UPI,0
TXN00348,21,1131.08,-0.36,0.11,0.14,UPI,0
TXN00349,13,462.7,0.17,0.71,0.1,UPI,0
TXN00350,18,728.28,-0.29,0.2,0.19,DebitCard,0
TXN00351,19,1019.2,-0.26,0.23,0.22,DebitCard,0
TXN00352,15,234.21,-0.24,0.66,0.07,DebitCard,0
TXN00353,12,735.07,-0.28,0.65,0.12,DebitCard,0
TXN00354,21,723.99,-0.26,0.47,0.18,DebitCard,0
TXN00355,8,656.43,0.44,0.74,0.31,DebitCard,0
TXN00356,20,432.34,-0.22,0.77,0.13,CreditCard,0
TXN00357,22,1158.36,0.33,0.44,0.06,CreditCard,0
TXN00358,20,317.0,0.02,0.49,0.14,DebitCard,0
TXN00359,18,898.37,0.04,0.68,0.31,UPI,0
TXN00360,18,953.88,-0.01,0.66,0.24,UPI,0
TXN00361,9,1149.33,0.23,0.7,0.19,UPI,0
TXN00362,8,587.98,-0.07,0.17,0.15,UPI,0
TXN00363,19,1109.56,-0.26,0.18,0.31,CreditCard,0
TXN00364,19,476.89,-0.37,0.27,0.22,UPI,0
TXN00365,15,642.03,-0.27,0.59,0.08,DebitCard,0
TXN00366,22,697.6,-0.32,0.27,0.05,CreditCard,0
TXN00367,16,895.29,-0.42,0.78,0.16,CreditCard,0
TXN00368,19,959.03,0.23,0.18,0.2,UPI,0
TXN00369,21,300.39,-0.48,0.24,0.34,CreditCard,0
TXN00370,11,410.69,0.25,0.3,0.1,CreditCard,0
TXN00371,10,487.93,-0.13,0.53,0.08,DebitCard,0
TXN00372,8,740.18,0.26,0.38,0.33,UPI,0
TXN00373,18,265.29,0.37,0.12,0.34,DebitCard,0
TXN00374,13,275.82,0.3,0.4,0.19,DebitCard,0
TXN00375,22,877.27,-0.04,0.72,0.19,DebitCard,0
TXN00376,15,270.71,-0.31,0.44,0.18,UPI,0
TXN00377,21,1094.41,-0.17,0.15,0.35,CreditCard,0
TXN00378,9,1074.56,-0.22,0.25,0.27,CreditCard,0
TXN00379,9,482.17,-0.28,0.56,0.09,CreditCard,0
TXN00380,21,1193.49,-0.23,0.47,0.06,CreditCard,0
TXN00381,16,952.02,0.15,0.75,0.26,DebitCard,0
TXN00382,22,405.66,0.46,0.1,0.27,UPI,0
TXN00383,14,1167.79,0.22,0.12,0.34,CreditCard,0
TXN00384,9,1009.98,0.01,0.79,0.12,CreditCard,0
TXN00385,13,782.23,0.08,0.72,0.07,CreditCard,0
TXN00386,18,527.16,-0.46,0.58,0.24,CreditCard,0
TXN00387,21,352.36,-0.22,0.42,0.31,UPI,0
TXN00388,10,976.2,0.34,0.27,0.11,UPI,0
TXN00389,17,1082.91,0.42,0.24,0.19,UPI,0
TXN00390,17,894.42,-0.25,0.25,0.18,DebitCard,0
TXN00391,14,863.06,0.1,0.65,0.32,DebitCard,0
TXN00392,22,405.91,0.15,0.36,0.14,DebitCard,0
TXN00393,16,1076.87,0.33,0.38,0.07,UPI,0
TXN00394,17,780.08,0.31,0.27,0.26,DebitCard,0
TXN00395,12,488.9,-0.05,0.12,0.33,CreditCard,0
TXN00396,19,583.77,-0.24,0.77,0.2,CreditCard,0
TXN00397,8,203.31,-0.48,0.68,0.25,DebitCard,0
TXN00398,8,279.37,-0.01,0.46,0.23,DebitCard,0
TXN00399,9,391.89,0.22,0.24,0.27,UPI,0
TXN00400,16,1014.87,0.27,0.72,0.05,CreditCard,0
TXN00401,16,557.9,0.07,0.65,0.3,UPI,0
TXN00402,9,872.85,0.33,0.22,0.29,UPI,0
TXN00403,13,209.04,-0.33,0.66,0.32,CreditCard,0
TXN00404,14,925.29,-0.04,0.74,0.3,UPI,0
TXN00405,21,373.59,-0.01,0.43,0.19,CreditCard,0
TXN00406,11,682.42,0.28,0.12,0.24,DebitCard,0
TXN00407,10,967.22,0.3,0.69,0.07,DebitCard,0
TXN00408,18,844.79,0.02,0.76,0.21,CreditCard,0
TXN00409,8,1109.13,-0.49,0.59,0.24,CreditCard,0
TXN00410,20,1095.39,-0.31,0.33,0.11,DebitCard,0
TXN00411,11,1137.16,-0.01,0.71,0.18,CreditCard,0
TXN00412,12,862.73,-0.12,0.39,0.21,CreditCard,0
TXN00413,18,259.21,0.0,0.72,0.34,CreditCard,0
TXN00414,16,837.11,-0.49,0.12,0.32,DebitCard,0
TXN00415,13,325.67,-0.23,0.71,0.1,CreditCard,0
TXN00416,19,447.52,0.46,0.6,0.12,CreditCard,0
TXN00417,22,411.51,-0.23,0.15,0.1,DebitCard,0
TXN00418,11,798.79,0.2,0.34,0.12,UPI,0
TXN00419,21,760.84,0.39,0.48,0.24,UPI,0
TXN00420,11,225.37,-0.43,0.41,0.22,CreditCard,0
TXN00421,14,1195.75,0.19,0.54,0.19,UPI,0
TXN00422,18,208.08,0.31,0.16,0.21,UPI,0
TXN00423,19,462.51,0.42,0.68,0.19,CreditCard,0
TXN00424,20,910.33,-0.09,0.22,0.21,DebitCard,0
TXN00425,12,555.48,0.01,0.25,0.29,CreditCard,0
TXN00426,11,987.79,0.5,0.69,0.26,UPI,0
TXN00427,16,747.15,0.2,0.47,0.28,DebitCard,0
TXN00428,18,1152.42,0.04,0.49,0.21,UPI,0
TXN00429,13,475.63,0.45,0.17,0.29,DebitCard,0
TXN00430,15,961.57,0.27,0.73,0.29,CreditCard,0
TXN00431,19,829.64,-0.26,0.41,0.33,CreditCard,0
TXN00432,20,1010.03,-0.26,0.46,0.06,UPI,0
TXN00433,15,812.11,0.37,0.28,0.13,CreditCard,0
